city,population
ATLANTA,"420,003"
AUGUSTA-RICHMOND,"195,844"
COLUMBUS,"189,885"
SAVANNAH,"136,286"
ATHENS-CLARKE,"115,452"
SANDY SPRINGS,"93,853"
MACON,"91,351"
ROSWELL,"88,346"
ALBANY,"77,434"
JOHNS CREEK,"76,728"
WARNER ROBINS,"66,588"
ALPHARETTA,"57,551"
MARIETTA,"56,579"
VALDOSTA,"54,518"
SMYRNA,"51,271"
DUNWOODY,"46,267"
ROME,"36,303"
PEACHTREE CITY,"34,364"
GAINESVILLE,"33,804"
EAST POINT,"33,712"
HINESVILLE,"33,437"
DALTON,"33,128"
NEWNAN,"33,039"
MILTON,"32,661"
DOUGLASVILLE,"30,961"
KENNESAW,"29,783"
LAGRANGE,"29,588"
LAWRENCEVILLE,"28,546"
STATESBORO,"28,422"
DULUTH,"26,600"
STOCKBRIDGE,"25,636"
CARROLLTON,"24,388"
WOODSTOCK,"23,896"
GRIFFIN,"23,643"
CANTON,"22,958"
MCDONOUGH,"22,084"
ACWORTH,"20,425"
CARTERSVILLE,"19,731"
UNION CITY,"19,456"
DECATUR,"19,335"
POOLER,"19,140"
SUGAR HILL,"18,522"
FOREST PARK,"18,468"
THOMASVILLE,"18,413"
SNELLVILLE,"18,242"
MILLEDGEVILLE,"17,715"
ST. MARYS,"17,121"
AMERICUS,"17,041"
TIFTON,"16,350"
DUBLIN,"16,201"
KINGSLAND,"15,946"
FAYETTEVILLE,"15,945"
CALHOUN,"15,650"
BRUNSWICK,"15,383"
SUWANEE,"15,355"
CONYERS,"15,195"
RIVERDALE,"15,134"
WAYCROSS,"14,649"
MOULTRIE,"14,268"
WINDER,"14,099"
VILLA RICA,"13,956"
COLLEGE PARK,"13,942"
POWDER SPRINGS,"13,940"
PERRY,"13,839"
MONROE,"13,234"
COVINGTON,"13,118"
FAIRBURN,"12,950"
BAINBRIDGE,"12,697"
BUFORD,"12,225"
LILBURN,"11,596"
DOUGLAS,"11,589"
DALLAS,"11,544"
CUSSETA-CHATTAHOOCHEE,"11,267"
GROVETOWN,"11,216"
CORDELE,"11,147"
VIDALIA,"10,473"
LOGANVILLE,"10,458"
JESUP,"10,214"
CHAMBLEE,"9,892"
FORT VALLEY,"9,815"
CEDARTOWN,"9,750"
CAIRO,"9,607"
JEFFERSON,"9,432"
RICHMOND HILL,"9,281"
FORT OGLETHORPE,"9,263"
HOLLY SPRINGS,"9,189"
THOMASTON,"9,170"
NORCROSS,"9,116"
FITZGERALD,"9,053"
RINCON,"8,836"
